Controller Class Name,Method,EndPoint,Description,Parameters,Function Name,Response Type,Sample Response JSON
TagController,GET,/api/v1/tags/top,Get top N most used tags,@RequestParam Integer limit (default: 10),"getTopTags(Integer limit)","ResponseEntity<List<TagResponseDto>>","[{""id"": 1, ""name"": ""wildlife"", ""usageCount"": 500}, {""id"": 2, ""name"": ""elephant"", ""usageCount"": 350}]"
TagController,GET,/api/v1/tags/popular,Get popular tags with minimum usage count,@RequestParam Integer minUsageCount (default: 1),"getPopularTags(Integer minUsageCount)","ResponseEntity<List<TagResponseDto>>","[{""id"": 1, ""name"": ""wildlife"", ""usageCount"": 500}]"
TagController,GET,/api/v1/tags/unused,Get tags with zero usage,None,"getUnusedTags()","ResponseEntity<List<TagResponseDto>>","[{""id"": 10, ""name"": ""unused-tag"", ""usageCount"": 0}]"
TagController,GET,/api/v1/tags/search,Search tags by term,@RequestParam String q / Pageable,"searchTags(String searchTerm, Pageable pageable)","Page<TagResponseDto>","{""content"": [{""id"": 1, ""name"": ""wildlife""}], ""totalElements"": 5}"
TagController,POST,/api/v1/tags/by-ids,Get tags by list of IDs,@RequestBody List<Long> tagIds,"getByIds(List<Long> tagIds)","ResponseEntity<List<TagResponseDto>>","[{""id"": 1, ""name"": ""wildlife""}, {""id"": 2, ""name"": ""elephant""}]"
TagController,POST,/api/v1/tags/by-names,Get tags by list of names,@RequestBody List<String> names,"getByNames(List<String> names)","ResponseEntity<List<TagResponseDto>>","[{""id"": 1, ""name"": ""wildlife""}, {""id"": 2, ""name"": ""elephant""}]"
TagController,POST,/api/v1/tags/get-or-create,Get existing tags or create new ones by names,@RequestBody List<String> names,"getOrCreateByNames(List<String> names)","ResponseEntity<List<TagResponseDto>>","[{""id"": 1, ""name"": ""wildlife""}, {""id"": 15, ""name"": ""new-tag""}]"
TagController,GET,/api/v1/tags/count,Count total tags,None,"countTotal()",ResponseEntity<Long>,"{""count"": 50}"
TagController,POST,/api/v1/tags/{id}/increment-usage,Increment tag usage count,@PathVariable Long id,"incrementUsage(Long id)","ResponseEntity<TagResponseDto>","{""id"": 1, ""usageCount"": 151}"
TagController,POST,/api/v1/tags/{id}/decrement-usage,Decrement tag usage count,@PathVariable Long id,"decrementUsage(Long id)","ResponseEntity<TagResponseDto>","{""id"": 1, ""usageCount"": 149}"
TagController,POST,/api/v1/tags/recalculate-usage,Recalculate usage counts for all tags,None,"recalculateUsage()",ResponseEntity<Long>,"{""updatedCount"": 50}"
TagController,POST,/api/v1/tags/merge,Merge multiple tags into one target tag,@RequestBody TagMergeDto (sourceTagIds targetTagId),"mergeTags(TagMergeDto mergeDto)","ResponseEntity<TagResponseDto>","{""id"": 1, ""name"": ""wildlife"", ""usageCount"": 500}"
TagController,DELETE,/api/v1/tags/{id},Delete tag permanently,@PathVariable Long id,"deleteTag(Long id)",ResponseEntity<Void>,"{""status"": ""204 No Content""}"
TagController,DELETE,/api/v1/tags/unused,Delete all unused tags,None,"deleteUnusedTags()",ResponseEntity<Long>,"{""deletedCount"": 5}"
TagController,GET,/api/v1/tags/exists,Check if tag exists by name,@RequestParam String name,"tagExists(String name)",ResponseEntity<Boolean>,"{""exists"": true}"
